date,카드발급혜택
2023-01-01,30
2023-01-02,60
2023-01-03,64
2023-01-04,42
2023-01-05,40
2023-01-07,10
2023-01-08,26
2023-01-09,16
2023-01-10,28
2023-01-11,46
2023-01-12,14
2023-01-13,32
2023-01-14,12
2023-01-15,18
2023-01-16,22
2023-01-17,12
2023-01-18,40
2023-01-19,26
2023-01-20,26
2023-01-21,10
2023-01-22,12
2023-01-23,24
2023-01-24,14
2023-01-25,44
2023-01-26,46
2023-01-27,10
2023-01-28,18
2023-01-29,30
2023-01-30,28
2023-01-31,44
2023-02-01,78
2023-02-02,44
2023-02-03,50
2023-02-04,26
2023-02-05,12
2023-02-06,62
2023-02-07,40
2023-02-08,56
2023-02-09,32
2023-02-10,34
2023-02-11,28
2023-02-12,24
2023-02-13,44
2023-02-14,46
2023-02-15,32
2023-02-16,56
2023-02-17,28
2023-02-18,28
2023-02-19,10
2023-02-20,36
2023-02-21,28
2023-02-22,40
2023-02-23,44
2023-02-24,32
2023-02-25,16
2023-02-26,18
2023-02-27,22
2023-02-28,22
2023-03-01,60
2023-03-02,40
2023-03-03,34
2023-03-04,44
2023-03-05,10
2023-03-06,44
2023-03-07,34
2023-03-08,26
2023-03-09,24
2023-03-10,22
2023-03-12,30
2023-03-13,32
2023-03-14,10
2023-03-15,38
2023-03-16,12
2023-03-17,24
2023-03-18,12
2023-03-19,14
2023-03-20,14
2023-03-21,56
2023-03-22,20
2023-03-23,30
2023-03-24,32
2023-03-26,26
2023-03-27,24
2023-03-28,18
2023-03-29,40
2023-03-30,22
2023-03-31,14
2023-04-01,26
2023-04-02,14
2023-04-03,60
2023-04-04,62
2023-04-05,30
2023-04-06,14
2023-04-07,32
2023-04-08,24
2023-04-09,12
2023-04-10,14
2023-04-11,42
2023-04-12,26
2023-04-13,28
2023-04-14,20
2023-04-15,16
2023-04-16,12
2023-04-17,26
2023-04-18,30
2023-04-19,44
2023-04-20,50
2023-04-21,30
2023-04-22,10
2023-04-23,18
2023-04-24,32
2023-04-25,24
2023-04-26,26
2023-04-27,26
2023-04-28,24
2023-04-29,16
2023-04-30,20
2023-05-01,44
2023-05-02,40
2023-05-03,46
2023-05-04,16
2023-05-05,10
2023-05-06,24
2023-05-08,28
2023-05-09,26
2023-05-10,44
2023-05-11,34
2023-05-12,40
2023-05-13,22
2023-05-14,12
2023-05-15,36
2023-05-16,32
2023-05-17,20
2023-05-18,10
2023-05-19,16
2023-05-20,20
2023-05-21,16
2023-05-22,36
2023-05-23,24
2023-05-24,16
2023-05-25,26
2023-05-26,14
2023-05-27,16
2023-05-28,16
2023-05-29,18
2023-05-30,26
2023-05-31,26
2023-06-01,32
2023-06-02,42
2023-06-03,28
2023-06-04,12
2023-06-05,26
2023-06-06,28
2023-06-07,36
2023-06-08,46
2023-06-11,22
2023-06-12,14
2023-06-13,38
2023-06-14,32
2023-06-15,14
2023-06-16,36
2023-06-17,12
2023-06-19,16
2023-06-21,14
2023-06-22,28
2023-06-23,16
2023-06-24,28
2023-06-25,16
2023-06-26,16
2023-06-27,20
2023-06-28,14
2023-06-29,22
2023-06-30,16
2023-07-01,18
2023-07-02,14
2023-07-03,44
2023-07-04,34
2023-07-05,42
2023-07-06,36
2023-07-07,12
2023-07-08,14
2023-07-09,12
2023-07-10,18
2023-07-11,32
2023-07-12,22
2023-07-13,40
2023-07-14,26
2023-07-15,12
2023-07-17,38
2023-07-18,14
2023-07-19,34
2023-07-20,36
2023-07-21,28
2023-07-22,12
2023-07-23,14
2023-07-24,30
2023-07-25,10
2023-07-26,30
2023-07-27,34
2023-07-28,24
2023-07-29,12
2023-07-30,10
2023-07-31,46
2023-08-01,60
2023-08-02,26
2023-08-03,26
2023-08-04,26
2023-08-05,18
2023-08-06,10
2023-08-07,22
2023-08-08,26
2023-08-09,22
2023-08-10,12
2023-08-11,12
2023-08-12,12
2023-08-14,14
2023-08-15,24
2023-08-16,20
2023-08-17,16
2023-08-18,18
2023-08-19,16
2023-08-20,12
2023-08-21,10
2023-08-22,34
2023-08-23,22
2023-08-24,24
2023-08-25,22
2023-08-27,10
2023-08-28,48
2023-08-29,34
2023-08-30,32
2023-08-31,14
2023-09-01,46
2023-09-02,22
2023-09-03,20
2023-09-04,24
2023-09-05,44
2023-09-06,38
2023-09-07,40
2023-09-08,18
2023-09-09,18
2023-09-10,14
2023-09-11,32
2023-09-12,34
2023-09-13,28
2023-09-14,36
2023-09-15,30
2023-09-17,14
2023-09-18,50
2023-09-19,56
2023-09-20,48
2023-09-21,40
2023-09-23,14
2023-09-24,10
2023-09-25,48
2023-09-26,26
2023-09-27,28
2023-09-28,12
2023-09-29,12
2023-09-30,10
2023-10-01,32
2023-10-02,20
2023-10-03,60
2023-10-04,56
2023-10-05,42
2023-10-06,16
2023-10-07,48
2023-10-08,10
2023-10-09,18
2023-10-10,36
2023-10-11,56
2023-10-12,48
2023-10-13,22
2023-10-14,18
2023-10-15,20
2023-10-16,56
2023-10-17,42
2023-10-18,40
2023-10-19,32
2023-10-20,28
2023-10-21,18
2023-10-22,14
2023-10-23,32
2023-10-24,16
2023-10-25,30
2023-10-26,36
2023-10-27,24
2023-10-28,18
2023-10-29,26
2023-10-30,22
2023-10-31,36
2023-11-01,72
2023-11-02,52
2023-11-03,26
2023-11-04,30
2023-11-05,26
2023-11-06,48
2023-11-07,34
2023-11-08,30
2023-11-09,10
2023-11-10,16
2023-11-11,10
2023-11-12,20
2023-11-13,46
2023-11-14,36
2023-11-15,24
2023-11-17,32
2023-11-20,34
2023-11-21,20
2023-11-22,32
2023-11-23,18
2023-11-24,32
2023-11-25,16
2023-11-26,20
2023-11-27,18
2023-11-28,26
2023-11-29,40
2023-11-30,26
2023-12-01,50
2023-12-02,32
2023-12-03,18
2023-12-04,74
2023-12-05,40
2023-12-06,50
2023-12-07,48
2023-12-08,30
2023-12-09,18
2023-12-10,20
2023-12-11,44
2023-12-12,30
2023-12-13,18
2023-12-14,38
2023-12-15,22
2023-12-16,18
2023-12-17,30
2023-12-18,36
2023-12-19,20
2023-12-20,44
2023-12-21,32
2023-12-22,42
2023-12-23,20
2023-12-24,12
2023-12-25,22
2023-12-26,52
2023-12-27,44
2023-12-28,30
2023-12-29,24
2023-12-31,22
2024-01-01,80
2024-01-02,62
2024-01-03,46
2024-01-04,52
2024-01-05,42
2024-01-06,52
2024-01-07,26
2024-01-08,42
2024-01-09,68
2024-01-10,68
2024-01-11,74
2024-01-12,46
2024-01-13,20
2024-01-14,34
2024-01-15,56
2024-01-16,24
2024-01-17,36
2024-01-18,38
2024-01-19,22
2024-01-20,64
2024-01-21,44
2024-01-22,58
2024-01-23,62
2024-01-24,72
2024-01-25,50
2024-01-26,22
2024-01-27,42
2024-01-28,28
2024-01-29,62
2024-01-30,48
2024-01-31,28
2024-02-01,100
2024-02-02,56
2024-02-03,56
2024-02-04,66
2024-02-05,40
2024-02-06,84
2024-02-07,24
2024-02-08,42
2024-02-09,34
2024-02-10,12
2024-02-11,24
2024-02-12,14
2024-02-13,58
2024-02-14,38
2024-02-15,58
2024-02-16,48
2024-02-17,32
2024-02-18,38
2024-02-19,30
2024-02-20,42
2024-02-21,52
2024-02-22,34
2024-02-23,42
2024-02-25,40
2024-02-26,36
2024-02-27,34
2024-02-28,42
2024-02-29,30
2024-03-01,30
2024-03-02,26
2024-03-03,34
2024-03-04,58
2024-03-05,32
2024-03-06,50
2024-03-07,42
2024-03-08,10
2024-03-09,20
2024-03-10,24
2024-03-11,30
2024-03-12,42
2024-03-13,40
2024-03-14,28
2024-03-15,24
2024-03-16,22
2024-03-17,16
2024-03-18,42
2024-03-19,62
2024-03-20,52
