date,신용카드사
2021-04-15,28
2021-04-16,20
2021-04-18,28
2021-04-19,24
2021-04-20,62
2021-04-21,22
2021-04-22,40
2021-04-23,34
2021-04-24,14
2021-04-26,14
2021-04-27,48
2021-04-29,28
2021-04-30,22
2021-05-02,12
2021-05-03,44
2021-05-04,34
2021-05-05,14
2021-05-06,36
2021-05-07,30
2021-05-08,12
2021-05-09,20
2021-05-10,40
2021-05-11,42
2021-05-12,38
2021-05-13,44
2021-05-14,22
2021-05-15,10
2021-05-16,24
2021-05-17,32
2021-05-18,34
2021-05-19,24
2021-05-20,56
2021-05-21,42
2021-05-22,10
2021-05-23,12
2021-05-24,42
2021-05-25,20
2021-05-26,34
2021-05-27,48
2021-05-28,32
2021-05-31,56
2021-06-01,36
2021-06-02,20
2021-06-03,48
2021-06-04,38
2021-06-05,12
2021-06-06,12
2021-06-07,26
2021-06-08,30
2021-06-09,36
2021-06-10,40
2021-06-11,10
2021-06-12,18
2021-06-14,26
2021-06-15,34
2021-06-16,44
2021-06-17,18
2021-06-18,30
2021-06-19,10
2021-06-21,28
2021-06-22,44
2021-06-23,40
2021-06-24,24
2021-06-25,16
2021-06-26,16
2021-06-27,12
2021-06-28,30
2021-06-29,30
2021-06-30,42
2021-07-01,26
2021-07-02,24
2021-07-03,10
2021-07-04,26
2021-07-05,22
2021-07-06,20
2021-07-07,36
2021-07-08,30
2021-07-09,44
2021-07-10,12
2021-07-12,34
2021-07-13,28
2021-07-14,30
2021-07-15,38
2021-07-16,32
2021-07-17,24
2021-07-18,12
2021-07-19,10
2021-07-20,22
2021-07-21,28
2021-07-22,38
2021-07-23,46
2021-07-24,18
2021-07-26,12
2021-07-27,28
2021-07-28,12
2021-07-29,26
2021-07-30,24
2021-07-31,20
2021-08-01,10
2021-08-02,30
2021-08-03,28
2021-08-04,16
2021-08-05,30
2021-08-06,16
2021-08-07,12
2021-08-09,20
2021-08-10,38
2021-08-11,36
2021-08-12,20
2021-08-13,26
2021-08-14,12
2021-08-15,12
2021-08-16,16
2021-08-17,28
2021-08-18,26
2021-08-19,28
2021-08-20,18
2021-08-21,26
2021-08-22,14
2021-08-23,24
2021-08-24,36
2021-08-25,32
2021-08-26,22
2021-08-27,50
2021-08-28,16
2021-08-30,50
2021-08-31,44
2021-09-01,24
2021-09-02,40
2021-09-03,38
2021-09-04,12
2021-09-05,22
2021-09-06,76
2021-09-07,52
2021-09-08,46
2021-09-09,30
2021-09-10,34
2021-09-11,10
2021-09-12,14
2021-09-13,28
2021-09-14,36
2021-09-16,16
2021-09-17,18
2021-09-23,20
2021-09-24,34
2021-09-25,16
2021-09-27,50
2021-09-28,44
2021-09-29,36
2021-09-30,36
2021-10-01,28
2021-10-02,18
2021-10-04,18
2021-10-05,14
2021-10-06,40
2021-10-07,28
2021-10-08,34
2021-10-09,24
2021-10-10,20
2021-10-12,34
2021-10-13,22
2021-10-14,40
2021-10-15,28
2021-10-18,28
2021-10-19,30
2021-10-20,50
2021-10-21,46
2021-10-22,34
2021-10-23,10
2021-10-25,24
2021-10-26,44
2021-10-27,30
2021-10-28,36
2021-10-29,12
2021-10-30,12
2021-10-31,14
2021-11-01,40
2021-11-02,18
2021-11-03,56
2021-11-04,36
2021-11-05,32
2021-11-06,14
2021-11-08,12
2021-11-09,28
2021-11-10,46
2021-11-11,50
2021-11-12,30
2021-11-14,12
2021-11-15,36
2021-11-16,24
2021-11-17,34
2021-11-18,40
2021-11-19,42
2021-11-20,12
2021-11-21,10
2021-11-22,50
2021-11-23,50
2021-11-24,10
2021-11-25,14
2021-11-26,28
2021-11-28,16
2021-11-29,36
2021-11-30,26
2021-12-01,22
2021-12-02,42
2021-12-03,18
2021-12-05,12
2021-12-06,36
2021-12-07,22
2021-12-08,32
2021-12-09,50
2021-12-10,28
2021-12-11,10
2021-12-12,14
2021-12-13,28
2021-12-14,40
2021-12-15,40
2021-12-16,32
2021-12-17,20
2021-12-19,16
2021-12-21,30
2021-12-22,28
2021-12-23,34
2021-12-24,32
2021-12-25,14
2021-12-27,20
2021-12-28,34
2021-12-29,32
2021-12-30,18
2021-12-31,26
2022-01-01,14
2022-01-02,10
2022-01-03,34
2022-01-04,38
2022-01-05,44
2022-01-06,38
2022-01-07,58
2022-01-08,14
2022-01-10,30
2022-01-11,56
2022-01-12,38
2022-01-13,18
2022-01-14,28
2022-01-15,10
2022-01-17,48
2022-01-18,64
2022-01-19,20
2022-01-20,30
2022-01-21,28
2022-01-23,12
2022-01-24,20
2022-01-25,28
2022-01-26,38
2022-01-27,34
2022-01-28,26
2022-01-29,10
2022-02-03,36
2022-02-04,34
2022-02-05,12
2022-02-06,22
2022-02-07,42
2022-02-08,54
2022-02-09,30
2022-02-10,50
2022-02-11,20
2022-02-12,10
2022-02-14,32
2022-02-15,34
2022-02-16,32
2022-02-17,34
2022-02-18,34
2022-02-19,20
2022-02-20,30
2022-02-21,50
2022-02-22,24
2022-02-23,30
2022-02-24,12
2022-02-25,24
2022-02-27,22
2022-02-28,22
2022-03-01,12
2022-03-02,48
2022-03-03,40
2022-03-04,32
2022-03-05,16
2022-03-06,14
2022-03-07,18
2022-03-08,16
2022-03-09,16
2022-03-10,44
2022-03-11,34
2022-03-12,22
2022-03-13,14
2022-03-14,28
2022-03-15,26
2022-03-16,42
2022-03-17,26
2022-03-18,18
2022-03-19,12
2022-03-21,26
2022-03-22,36
2022-03-23,38
2022-03-24,24
2022-03-25,28
2022-03-26,12
2022-03-27,12
2022-03-28,34
2022-03-30,26
2022-03-31,46
2022-04-01,32
2022-04-02,12
2022-04-03,20
2022-04-04,26
2022-04-05,10
2022-04-06,12
2022-04-07,26
2022-04-08,38
2022-04-09,10
2022-04-10,12
2022-04-11,16
2022-04-12,32
2022-04-13,18
2022-04-14,30
2022-04-15,24
2022-04-16,10
2022-04-17,10
2022-04-18,42
2022-04-19,12
2022-04-20,40
2022-04-21,48
2022-04-22,42
2022-04-24,26
2022-04-25,34
2022-04-26,30
2022-04-27,50
2022-04-28,36
2022-04-29,30
2022-04-30,12
2022-05-01,10
2022-05-02,26
2022-05-03,28
2022-05-04,42
2022-05-05,18
2022-05-06,40
2022-05-07,16
2022-05-09,38
2022-05-10,48
2022-05-11,20
2022-05-12,64
2022-05-13,28
2022-05-14,14
2022-05-15,14
2022-05-16,18
2022-05-17,34
2022-05-18,46
2022-05-19,36
2022-05-20,46
2022-05-23,38
2022-05-24,36
2022-05-25,18
2022-05-26,18
2022-05-27,14
2022-05-28,10
2022-05-30,28
2022-05-31,24
2022-06-01,18
2022-06-02,26
2022-06-03,18
2022-06-05,26
2022-06-06,14
2022-06-07,20
2022-06-08,38
2022-06-09,50
2022-06-10,26
2022-06-11,10
2022-06-12,14
2022-06-13,38
2022-06-14,38
2022-06-15,16
2022-06-16,42
2022-06-17,28
2022-06-19,20
2022-06-20,42
2022-06-21,40
2022-06-22,42
2022-06-23,42
2022-06-24,32
2022-06-25,12
2022-06-26,12
2022-06-27,40
2022-06-28,38
2022-06-29,40
2022-06-30,18
2022-07-01,10
2022-07-03,12
2022-07-04,36
2022-07-05,64
2022-07-06,34
2022-07-07,10
2022-07-08,34
2022-07-11,32
2022-07-12,34
2022-07-13,26
2022-07-14,38
2022-07-15,32
2022-07-16,28
2022-07-18,30
2022-07-19,28
2022-07-20,24
2022-07-21,20
2022-07-22,40
2022-07-23,12
2022-07-24,18
2022-07-25,34
2022-07-26,36
2022-07-27,36
2022-07-28,40
2022-07-29,44
2022-07-30,14
2022-08-01,32
2022-08-02,10
2022-08-03,46
2022-08-04,12
2022-08-05,28
2022-08-08,40
2022-08-09,24
2022-08-10,18
2022-08-11,38
2022-08-12,32
2022-08-13,16
2022-08-15,10
2022-08-16,38
2022-08-17,22
2022-08-18,30
2022-08-19,44
2022-08-20,22
2022-08-22,24
2022-08-23,16
2022-08-24,46
2022-08-25,38
2022-08-26,32
2022-08-29,10
2022-08-30,42
2022-08-31,30
2022-09-01,38
2022-09-02,42
2022-09-05,36
2022-09-06,34
2022-09-07,14
2022-09-08,26
2022-09-12,14
2022-09-13,30
2022-09-14,52
2022-09-15,22
2022-09-16,36
2022-09-18,10
2022-09-19,14
2022-09-20,26
2022-09-21,24
2022-09-22,50
2022-09-23,30
2022-09-24,12
2022-09-26,36
2022-09-27,36
2022-09-28,42
2022-09-29,34
2022-09-30,42
2022-10-01,20
2022-10-03,18
2022-10-04,48
2022-10-05,42
2022-10-06,22
2022-10-07,24
2022-10-08,12
2022-10-11,36
2022-10-12,44
2022-10-13,14
2022-10-14,32
2022-10-16,12
2022-10-17,42
2022-10-18,44
2022-10-19,26
2022-10-20,22
2022-10-21,10
2022-10-22,28
2022-10-23,14
2022-10-24,42
2022-10-25,36
2022-10-26,26
2022-10-27,24
2022-10-28,16
2022-10-29,16
2022-10-31,52
2022-11-01,50
2022-11-02,70
2022-11-03,32
2022-11-04,10
2022-11-05,10
2022-11-07,46
2022-11-08,44
2022-11-09,36
2022-11-10,36
2022-11-11,32
2022-11-12,20
2022-11-14,40
2022-11-15,24
2022-11-16,32
2022-11-17,48
2022-11-18,60
2022-11-19,26
2022-11-20,14
2022-11-21,34
2022-11-22,22
2022-11-23,30
2022-11-24,42
2022-11-25,20
2022-11-27,28
2022-11-28,30
2022-11-29,24
2022-11-30,32
2022-12-01,42
2022-12-02,30
2022-12-03,10
2022-12-04,10
2022-12-05,26
2022-12-06,24
2022-12-07,28
2022-12-08,28
2022-12-09,22
2022-12-10,16
2022-12-11,32
2022-12-12,36
2022-12-13,28
2022-12-14,30
2022-12-15,36
2022-12-16,18
2022-12-18,14
2022-12-19,50
2022-12-20,40
2022-12-21,36
2022-12-22,26
2022-12-23,42
2022-12-24,12
2022-12-25,10
2022-12-26,36
2022-12-27,24
2022-12-28,36
2022-12-29,30
2022-12-30,28
2022-12-31,20
2023-01-01,10
2023-01-02,40
2023-01-03,50
2023-01-04,38
2023-01-05,16
2023-01-06,30
2023-01-07,28
2023-01-08,14
2023-01-09,40
2023-01-10,48
2023-01-11,50
2023-01-12,50
2023-01-13,46
2023-01-14,16
2023-01-15,12
2023-01-16,38
2023-01-17,28
2023-01-18,32
2023-01-19,58
2023-01-20,14
2023-01-21,20
2023-01-22,24
2023-01-24,16
2023-01-25,46
2023-01-26,48
2023-01-27,34
2023-01-28,12
2023-01-29,34
2023-01-30,30
2023-01-31,38
2023-02-01,50
2023-02-02,62
2023-02-03,28
2023-02-04,18
2023-02-05,26
2023-02-06,22
2023-02-07,42
2023-02-08,38
2023-02-09,28
2023-02-10,40
2023-02-11,10
2023-02-12,18
2023-02-13,48
2023-02-14,36
2023-02-15,34
2023-02-16,34
2023-02-17,26
2023-02-18,22
2023-02-19,12
2023-02-20,56
2023-02-21,32
2023-02-22,42
2023-02-23,32
2023-02-24,36
2023-02-25,12
2023-02-26,32
2023-02-27,30
2023-02-28,32
2023-03-01,26
2023-03-02,12
2023-03-03,32
2023-03-04,20
2023-03-06,28
2023-03-07,36
2023-03-08,46
2023-03-09,42
2023-03-10,10
2023-03-11,12
2023-03-12,10
2023-03-13,36
2023-03-14,38
2023-03-15,38
2023-03-17,20
2023-03-19,12
2023-03-20,48
2023-03-21,52
2023-03-22,34
2023-03-23,42
2023-03-24,30
2023-03-25,16
2023-03-27,26
2023-03-28,38
2023-03-29,20
2023-03-30,38
2023-03-31,40
2023-04-01,16
2023-04-02,16
2023-04-03,30
2023-04-04,38
2023-04-05,36
2023-04-06,38
2023-04-07,14
2023-04-10,36
2023-04-11,30
2023-04-12,56
2023-04-13,38
2023-04-14,26
2023-04-15,20
2023-04-16,12
2023-04-17,44
2023-04-18,20
2023-04-19,60
2023-04-20,20
2023-04-21,44
2023-04-24,26
2023-04-25,50
2023-04-26,32
2023-04-27,42
2023-04-28,12
2023-05-01,16
2023-05-02,40
2023-05-03,24
2023-05-04,28
2023-05-06,10
2023-05-07,18
2023-05-08,22
2023-05-09,34
2023-05-10,44
2023-05-11,38
2023-05-12,12
2023-05-13,28
2023-05-14,10
2023-05-15,36
2023-05-16,32
2023-05-17,36
2023-05-18,48
2023-05-19,24
2023-05-20,30
2023-05-21,26
2023-05-22,28
2023-05-23,38
2023-05-24,58
2023-05-25,34
2023-05-26,36
2023-05-27,10
2023-05-29,12
2023-05-30,36
2023-05-31,28
2023-06-01,52
2023-06-02,36
2023-06-03,34
2023-06-04,16
2023-06-05,10
2023-06-06,18
2023-06-07,46
2023-06-09,30
2023-06-10,10
2023-06-11,12
2023-06-12,22
2023-06-13,48
2023-06-14,50
2023-06-15,38
2023-06-16,12
2023-06-19,16
2023-06-20,40
2023-06-21,48
2023-06-22,30
2023-06-23,50
2023-06-24,12
2023-06-26,38
2023-06-27,34
2023-06-28,56
2023-06-29,46
2023-06-30,44
2023-07-01,10
2023-07-02,14
2023-07-03,54
2023-07-04,56
2023-07-05,42
2023-07-06,34
2023-07-07,22
2023-07-09,14
2023-07-10,38
2023-07-11,26
2023-07-12,28
2023-07-13,44
2023-07-14,34
2023-07-15,12
2023-07-16,12
2023-07-17,48
2023-07-18,38
2023-07-19,38
2023-07-20,36
2023-07-21,22
2023-07-23,14
2023-07-24,30
2023-07-25,36
2023-07-26,58
2023-07-27,32
2023-07-28,42
2023-07-29,14
2023-07-31,32
2023-08-01,22
2023-08-02,34
2023-08-03,10
2023-08-06,20
2023-08-07,34
2023-08-08,38
2023-08-09,48
2023-08-10,28
2023-08-11,38
2023-08-12,10
2023-08-13,12
2023-08-14,20
2023-08-15,14
2023-08-16,30
2023-08-17,30
2023-08-18,16
2023-08-19,18
2023-08-20,12
2023-08-21,20
2023-08-22,30
2023-08-23,28
2023-08-24,48
2023-08-25,32
2023-08-26,14
2023-08-27,32
2023-08-28,34
2023-08-29,24
2023-08-30,32
2023-08-31,12
2023-09-01,44
2023-09-02,10
2023-09-03,10
2023-09-04,20
2023-09-05,26
2023-09-06,46
2023-09-07,32
2023-09-08,24
2023-09-09,12
2023-09-11,22
2023-09-12,46
2023-09-14,26
2023-09-15,14
2023-09-17,12
2023-09-18,36
2023-09-19,54
2023-09-20,34
2023-09-21,20
2023-09-22,10
2023-09-24,16
2023-09-25,22
2023-09-26,26
2023-09-27,14
2023-10-01,22
2023-10-03,14
2023-10-04,30
2023-10-05,38
2023-10-06,38
2023-10-07,20
2023-10-08,18
2023-10-09,12
2023-10-10,42
2023-10-11,52
2023-10-12,24
2023-10-13,18
2023-10-14,12
2023-10-16,38
2023-10-17,32
2023-10-18,26
2023-10-19,36
2023-10-22,10
2023-10-23,28
2023-10-24,100
2023-10-25,34
2023-10-26,24
2023-10-27,30
2023-10-28,14
2023-10-29,14
2023-10-30,34
2023-10-31,34
2023-11-01,26
2023-11-02,20
2023-11-03,34
2023-11-04,16
2023-11-06,36
2023-11-07,28
2023-11-08,28
2023-11-09,34
2023-11-10,34
2023-11-13,26
2023-11-14,26
2023-11-15,24
2023-11-16,32
2023-11-17,50
2023-11-19,18
2023-11-20,38
2023-11-21,22
2023-11-22,42
2023-11-23,38
2023-11-24,10
2023-11-26,28
2023-11-27,30
2023-11-28,36
2023-11-29,44
2023-11-30,20
2023-12-01,28
2023-12-02,14
2023-12-03,12
2023-12-04,14
2023-12-05,14
2023-12-06,38
2023-12-07,14
2023-12-08,26
2023-12-10,20
2023-12-11,34
2023-12-12,36
2023-12-13,22
2023-12-14,36
2023-12-15,38
2023-12-17,12
2023-12-18,36
2023-12-19,28
2023-12-20,34
2023-12-21,20
2023-12-22,18
2023-12-23,10
2023-12-25,10
2023-12-26,38
2023-12-27,12
2023-12-28,44
2023-12-29,16
2024-01-01,22
2024-01-02,30
2024-01-03,48
2024-01-04,28
2024-01-05,32
2024-01-07,12
2024-01-08,18
2024-01-09,46
2024-01-10,44
2024-01-11,28
2024-01-12,24
2024-01-14,16
2024-01-15,36
2024-01-16,36
2024-01-17,40
2024-01-18,64
2024-01-19,48
2024-01-22,36
2024-01-23,34
2024-01-24,34
2024-01-25,40
2024-01-26,32
2024-01-27,10
2024-01-28,14
2024-01-29,14
2024-01-30,16
2024-01-31,36
2024-02-01,42
2024-02-02,18
2024-02-03,16
2024-02-04,10
2024-02-05,46
2024-02-06,32
2024-02-07,32
2024-02-08,32
2024-02-11,12
2024-02-13,24
2024-02-14,32
2024-02-15,38
2024-02-16,28
2024-02-17,10
2024-02-18,16
2024-02-19,38
2024-02-20,58
2024-02-21,34
2024-02-22,60
2024-02-23,30
2024-02-24,10
2024-02-26,36
2024-02-27,22
2024-02-28,46
2024-02-29,18
2024-03-01,16
2024-03-02,12
2024-03-04,56
2024-03-05,28
2024-03-06,38
2024-03-07,26
2024-03-08,34
2024-03-09,10
2024-03-10,10
2024-03-11,30
2024-03-12,76
2024-03-13,56
2024-03-14,48
2024-03-15,36
2024-03-18,56
2024-03-19,48
2024-03-20,36
